place_name,latitude,longitude
The Dead Rabbit,40.7032493,-74.0110052
Pocket Bar NYC,,
The Dickens,,
Old Town Bar,40.7375383,-73.9892094
Dear Irving on Hudson Rooftop Bar,,
Death & Co East Village,,
Rudy's Bar & Grill,40.759988,-73.9917263
Amor y Amargo,40.7257034,-73.9842602
Barcelona Bar,,
The Up & Up,,
"ART Midtown - Rooftop Bars Midtown, NYC (Arlo Midtown)",,
Jimmy's Corner,40.7567033,-73.9847548
Raines Law Room Chelsea,40.7387302,-73.9945926
Tanner Smith's,40.7643596,-73.9815651
Dante NYC,40.7351968,-74.0062713
Overstory,40.7065765,-74.0080763
As Is NYC,40.7646909,-73.9915481
Strangelove Bar Nyc,40.7573037,-73.9681176
The Naked Pig,40.7593709,-73.96841
The Ragtrader & Bo Peep Cocktail and Highball Store,,
Albert's Bar,,
Ascent Lounge,,
Faces & Names Bar and Lounge,,
Raines Law Room at The William,,
The Carnegie Club,,
The Rum House,,
Patent Pending,40.7452323,-73.9902152
Back Pocket Bar,40.763866,-73.9920297
Pebble Bar,40.7592111,-73.9804982
The Pony Bar,40.76977,-73.954316
Madam Mikette's,,
Rosevale Cocktail Room,,
The Three Monkeys,40.7641352,-73.9830578
Juke Bar,40.7310697,-73.9855764
all & sundry,,
Bemelmans Bar,40.7742561,-73.962989
The Campbell,40.752605,-73.9778482
Tomi Jazz,,
Sofia Wine Bar,40.7550656,-73.9692514
VALERIE,40.7562438,-73.9812159
The Perfect Pint,40.7526442,-73.9726484
Le Chalet,,
LB33,,
The Independent,40.7546757,-73.9874489
Dutch Fred's,,
Bo Peep Cocktail and Highball Store,,
Double Down Saloon,40.7225685,-73.9858462
Two E Bar/Lounge,,
Dolly Varden,40.7629436,-73.986239
Rooftop Bars NYC,40.7406851,-74.0079045
Whiskey Trader,40.7628723,-73.9775236
Blue Ruin Bar,40.7572141,-73.9930662
Broken Shaker,40.739805,-73.984357
Inside Park,40.7571723,-73.9734536
The Hunterian,40.7661341,-73.9558705
The High Note,,
Bar Centrale,40.7601137,-73.9890051
King Cole Bar,40.7613571,-73.9744256
Little Ned,,
Thyme Bar,,
Hidden Lane Bar,,
Twist Bar,,
P.J. Carney's Pub,,
Julius',40.7345357,-74.00163
Crown Alley,,
Judge Roy Bean Public House,,
RPM Underground,,
Castell Rooftop Lounge,40.755533,-73.9902804
Gadfly Bar,,
Uncle Charlie's Piano Lounge,40.7532286,-73.9739994
Undercote,,
169 Bar,40.7139326,-73.9897603
The Winslow,40.7326739,-73.9852909
Bar Belly,40.7151349,-73.9916523
Johnny's Bar,,
Flute Champagne Bar,,
Walter's Bar,,
Attaboy,40.7188823,-73.9913742
PHD Terrace at Dream Midtown,,
Angel's Share,,
Oak Room,,
Ampersand,40.7386819,-73.9834817
Katana Kitten,40.7342532,-74.0064058
The Four Faced Liar,40.7321644,-74.0013984
BAR GOTO,40.7227628,-73.9898629
Chez Zou,40.7529048,-73.9986636
Big Bar,40.7274275,-73.9865089
Mace,40.7330903,-73.9980848
Porchlight,40.7520063,-74.0049953
Jungle Bird,40.742595,-74.000177
The Tailor Public House,,
The Bar at Baccarat Hotel,40.7608297,-73.9774081
Peter Dillon's 36th,40.7494523,-73.9832785
Big Apple Cleveland Browns Backers of NYC,,
KGB Bar,40.7265891,-73.9898025
The Portrait Bar,,
Subject: A Cocktail Bar,,
