place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJ_1oyZaZZwokR1c-HIVJ3xzo,230 Fifth,230 FIFTH is New York's largest outdoor Rooftop Garden and Fully enclosed Penthouse Lounge. One floor is fully enclosed. And our rooftop garden is open to the sky. We do have large umbrellas for those sunny or rainy days and is partially heated on colder nights. Nov our newly designed igloos are back !,,22461,4.3,"Name: Monarch Rooftop
Link: https://www.google.com/maps/search/Monarch+Rooftop/@40.7503922,-73.9868091?authuser=0&hl=es&entry=ttu
Reviews: 2351 reviews

Name: Spyglass Rooftop Bar
Link: https://www.google.com/maps/search/Spyglass+Rooftop+Bar/@40.7519694,-73.9848404?authuser=0&hl=es&entry=ttu
Reviews: 795 reviews

Name: Rooftop Bars NYC
Link: https://www.google.com/maps/search/Rooftop+Bars+NYC/@40.7442419,-73.9886085?authuser=0&hl=es&entry=ttu
Reviews: 113 reviews

Name: Igloo Bar NYC
Link: https://www.google.com/maps/search/Igloo+Bar+NYC/@40.743967399999995,-73.98809059999999?authuser=0&hl=es&entry=ttu
Reviews: 52 reviews

Name: Fifth rooftop bar
Link: https://www.google.com/maps/search/Fifth+rooftop+bar/@40.7488155,-73.98469399999999?authuser=0&hl=es&entry=ttu
Reviews: 6 reviews",http://www.230-fifth.com/,+1 212-725-4300,,230 Fifth (propietario),https://www.google.com/maps/contrib/103582967784775299030,https://lh3.ggpht.com/p/AF1QipNjIV0QX9rAqR3N6eoBot5HpCuHinQv93llOVx3=s1024,Lounge,Lounge,14:00-2:00,,Open All Days,"1150 Broadway, New York, NY 10001, Estados Unidos","empire state, vista, iglu, invierno, traje talar, calefactores, rascacielos, tourist trap, skyline, cupula",https://www.google.com/maps/place/230+Fifth/data=!4m7!3m6!1s0x89c259a665325aff:0x3ac777522187cfd5!8m2!3d40.7441081!4d-73.9888201!16s%2Fm%2F0ghfk_j!19sChIJ_1oyZaZZwokR1c-HIVJ3xzo?authuser=0&hl=es&rclk=1,bars in manhattan
ChIJGdCSd5tZwokRfYvMyzO7qtE,McSorley's Old Ale House,"Bar tradicional, con camareros irlandeses, 2 tipos de cerveza ale (rubia o negra) y suelo cubierto de serrin.",,7948,4.7,"Name: O'Donoghue's Times Square
Link: https://www.google.com/maps/search/O'Donoghue%E2%80%99s+Times+Square/@40.756942699999996,-73.9852828?authuser=0&hl=es&entry=ttu
Reviews: 2424 reviews

Name: Old Town Bar
Link: https://www.google.com/maps/search/Old+Town+Bar/@40.737611099999995,-73.9891583?authuser=0&hl=es&entry=ttu
Reviews: 1611 reviews

Name: Paddy Reilly's Music Bar
Link: https://www.google.com/maps/search/Paddy+Reilly's+Music+Bar/@40.741658,-73.978516?authuser=0&hl=es&entry=ttu
Reviews: 480 reviews

Name: MacDougal Street Ale House
Link: https://www.google.com/maps/search/MacDougal+Street+Ale+House/@40.7299115,-74.00043289999999?authuser=0&hl=es&entry=ttu
Reviews: 381 reviews

Name: 12th Street Ale House
Link: https://www.google.com/maps/search/12th+Street+Ale+House/@40.731023199999996,-73.985573?authuser=0&hl=es&entry=ttu
Reviews: 264 reviews",http://mcsorleysoldalehouse.nyc/,,1,McSorley's Old Ale House (propietario),,https://lh3.ggpht.com/p/AF1QipMxaVok0USA0WzS4HuBqPEyIAWnNkjGcS9FWiXT=s1024,Pub,Pub,11:00-1:00,,Open All Days,"15 E 7th St, New York, NY 10003, Estados Unidos","serrin, cerveza ligera, dunkel, 1854, abraham lincoln, galleta de soda, leberwurst, esposas, estufa de barriga, historia viva",https://www.google.com/maps/place/McSorley%E2%80%99s+Old+Ale+House/data=!4m7!3m6!1s0x89c2599b7792d019:0xd1aabb33cbcc8b7d!8m2!3d40.7288053!4d-73.9896791!16zL20vMDZkczY0!19sChIJGdCSd5tZwokRfYvMyzO7qtE?authuser=0&hl=es&rclk=1,bars in manhattan
ChIJIRiJaRRawokR2KyQ984qa-o,The Dead Rabbit,"The world's most awarded pub.
Irish Whiskey, Guinness, traditional pub fare, cocktails and craic. Welcome home.",,7513,4.7,"Name: 230 Fifth
Link: https://www.google.com/maps/search/230+Fifth/@40.7441081,-73.9888201?authuser=0&hl=es&entry=ttu
Reviews: 22446 reviews

Name: The Malt House
Link: https://www.google.com/maps/search/The+Malt+House/@40.7096649,-74.0093444?authuser=0&hl=es&entry=ttu
Reviews: 2009 reviews

Name: Attaboy
Link: https://www.google.com/maps/search/Attaboy/@40.718882,-73.99137999999999?authuser=0&hl=es&entry=ttu
Reviews: 1738 reviews

Name: Old Town Bar
Link: https://www.google.com/maps/search/Old+Town+Bar/@40.737611099999995,-73.9891583?authuser=0&hl=es&entry=ttu
Reviews: 1611 reviews

Name: Harry's Side Bar
Link: https://www.google.com/maps/search/Harry's+Side+Bar/@40.7044966,-74.0098862?authuser=0&hl=es&entry=ttu
Reviews: 50 reviews",https://thedeadrabbit.com/?utm_source=google_business_profile&utm_medium=gbp_view_website&utm_campaign=google_business_profile,+1 917-540-5228,,The Dead Rabbit (propietario),https://www.google.com/maps/contrib/114642249878659818326,https://lh3.ggpht.com/p/AF1QipM4aUcpwv1i-uOUYl5d1lJY5S2LKpzL32TyV2oP=s1024,Bar,"Bar, Restaurante de brunch, Cocteleria, Recinto para eventos, Pub restaurante, Pub irlandes, Bar con musica en directo, Lunch restaurant, Pub, Restaurante",11:00-2:00,,Open All Days,"30 Water St, New York, NY 10004, Estados Unidos","cafe irlandes, huevo a la escocesa, whisky irlandes, serrin, pot pie, manhattan, cottage pie, huevos rellenos, revista de historietas, estatua de la libertad",https://www.google.com/maps/place/The+Dead+Rabbit/data=!4m7!3m6!1s0x89c25a1469891821:0xea6b2acef790acd8!8m2!3d40.7032685!4d-74.0110218!16s%2Fg%2F1hhgq2mj1!19sChIJIRiJaRRawokR2KyQ984qa-o?authuser=0&hl=es&rclk=1,bars in manhattan
ChIJ9aMCWaxbwokRZHJGmTBxFtQ,Time Out Market New York,"About Time Out Market New York: New York's innovative eating-and-drinking destination features the city's top chefs, most-talked-about restaurants and buzziest drinks--plus the latest in arts and culture--all together on the beautiful Brooklyn waterfront.",,5908,4.5,"Name: Dekalb Market Hall
Link: https://www.google.com/maps/search/Dekalb+Market+Hall/@40.690761699999996,-73.98305739999999?authuser=0&hl=es&entry=ttu
Reviews: 5648 reviews

Name: The River Cafe
Link: https://www.google.com/maps/search/The+River+Caf%C3%A9/@40.703834199999996,-73.9947936?authuser=0&hl=es&entry=ttu
Reviews: 2273 reviews

Name: Westville Dumbo
Link: https://www.google.com/maps/search/Westville+Dumbo/@40.7019271,-73.9894984?authuser=0&hl=es&entry=ttu
Reviews: 1890 reviews

Name: The Osprey
Link: https://www.google.com/maps/search/The+Osprey/@40.702277300000006,-73.9955854?authuser=0&hl=es&entry=ttu
Reviews: 625 reviews

Name: Seamore's
Link: https://www.google.com/maps/search/Seamore%E2%80%99s/@40.7030931,-73.99133599999999?authuser=0&hl=es&entry=ttu
Reviews: 565 reviews",https://www.timeoutmarket.com/newyork/,+1 917-810-4855,,Time Out Market New York (propietario),https://www.google.com/maps/contrib/116916789191377156975,https://lh3.ggpht.com/p/AF1QipPELzq4x2I3hFl7ocSLCTkXtE1CH0HgMcQ1vWFK=s1024,Zona de restauracion,"Zona de restauracion, Sala de banquetes, Bar, Restaurante, Lonja de pescado",8:00-22:00,,Open All Days,"55 Water St, Brooklyn, NY 11201, Estados Unidos","food court, puente, atardecer, salon de comidas, pepinillos de jacob, skyline, ess-a-bagel, mercado de chelsea, juliana, mejillas de pescado",https://www.google.com/maps/place/Time+Out+Market+New+York/data=!4m7!3m6!1s0x89c25bac5902a3f5:0xd416713099467264!8m2!3d40.7034205!4d-73.9921457!16s%2Fg%2F11fl78mh38!19sChIJ9aMCWaxbwokRZHJGmTBxFtQ?authuser=0&hl=es&rclk=1,bars in manhattan
ChIJOxerSlJYwokRPmpdLA4CpWI,Rudy's Bar & Grill,Rudy's Bar & Grill is a Historic Dive Bar Located in the heart of Hell's Kitchen NYC. Look for the 7 Foot Pig when you enter. Rudy's offers cheap beer and spirts while also giving away Free Hot Dogs with any purchase.,,5415,4.6,"Name: 230 Fifth
Link: https://www.google.com/maps/search/230+Fifth/@40.7441081,-73.9888201?authuser=0&hl=es&entry=ttu
Reviews: 22446 reviews

Name: The Dead Rabbit
Link: https://www.google.com/maps/search/The+Dead+Rabbit/@40.7032685,-74.0110218?authuser=0&hl=es&entry=ttu
Reviews: 7508 reviews

Name: Jimmy's Corner
Link: https://www.google.com/maps/search/Jimmy's+Corner/@40.756729899999996,-73.9847643?authuser=0&hl=es&entry=ttu
Reviews: 1982 reviews

Name: The Rum House
Link: https://www.google.com/maps/search/The+Rum+House/@40.759710999999996,-73.986307?authuser=0&hl=es&entry=ttu
Reviews: 1959 reviews

Name: Blue Ruin Bar
Link: https://www.google.com/maps/search/Blue+Ruin+Bar/@40.7568773,-73.9934364?authuser=0&hl=es&entry=ttu
Reviews: 663 reviews",http://www.rudysbarnyc.com/,+1 646-707-0890,,Rudy's Bar & Grill (propietario),https://www.google.com/maps/contrib/103834591764851712953,https://lh3.ggpht.com/p/AF1QipOWxr72vYfIM_DcnqrZQFCyY1CB0vKVv6SpHy7L=s1024,Bar restaurante,"Bar restaurante, Bar",8:00-4:00,,Open All Days,"627 9th Ave, New York, NY 10036, Estados Unidos","hot dog, pitcher, jukebox, propina, times square, cinta americana, manhattan, ATM, sus, perritos",https://www.google.com/maps/place/Rudy%27s+Bar+%26+Grill/data=!4m7!3m6!1s0x89c258524aab173b:0x62a5020e2c5d6a3e!8m2!3d40.7600309!4d-73.9917951!16s%2Fg%2F1tkmnghy!19sChIJOxerSlJYwokRPmpdLA4CpWI?authuser=0&hl=es&rclk=1,bars in manhattan
ChIJY4scGfhYwokRDUJKI7qavAA,Tanner Smith's,"At Tanner Smith's, we strive to provide our guests with a unique experience in a warm setting. The Main bar area is styled as an early 20th century New York drinking house. Artfully created cocktails along with our rotating craft beer selection and wine list are accompanied by thoughtful food selections served with a twist.",,3112,4.4,"Name: The Rum House
Link: https://www.google.com/maps/search/The+Rum+House/@40.759710999999996,-73.986307?authuser=0&hl=es&entry=ttu
Reviews: 1959 reviews

Name: NOTHING REALLY MATTERS
Link: https://www.google.com/maps/search/NOTHING+REALLY+MATTERS/@40.7614519,-73.98452309999999?authuser=0&hl=es&entry=ttu
Reviews: 345 reviews

Name: The Bar Room at The Modern
Link: https://www.google.com/maps/search/The+Bar+Room+at+The+Modern/@40.7609475,-73.9768318?authuser=0&hl=es&entry=ttu
Reviews: 276 reviews

Name: all & sundry
Link: https://www.google.com/maps/search/all+%26+sundry/@40.767544400000006,-73.9832993?authuser=0&hl=es&entry=ttu
Reviews: 260 reviews

Name: The Rickey
Link: https://www.google.com/maps/search/The+Rickey/@40.7643676,-73.98177059999999?authuser=0&hl=es&entry=ttu
Reviews: 210 reviews",http://www.tannersmiths.com/,+1 646-590-2034,,Tanner Smith's (propietario),https://www.google.com/maps/contrib/100738554549092335636,https://lh3.ggpht.com/p/AF1QipPplDYIJJQLjooYy68jFiC-eCx4ekIOBZ1Z-T6-=s1024,Bar,"Bar, Cocteleria, Pub restaurante, Restaurante especializado en cocina americana moderna",12:00-3:00,,Open All Days,"204 W 55th St, New York, NY 10019, Estados Unidos","brunch, tetera, sotano, ley seca en los estados unidos, manhattan, chicken and waffles, poutine, taza de te, infundido, rollitos de primavera de pollo bufalo",https://www.google.com/maps/place/Tanner+Smith%27s/data=!4m7!3m6!1s0x89c258f8191c8b63:0xbc9aba234a420d!8m2!3d40.7643361!4d-73.9815917!16s%2Fg%2F11b7lcq71p!19sChIJY4scGfhYwokRDUJKI7qavAA?authuser=0&hl=es&rclk=1,bars in manhattan
ChIJvQwwiQFZwokRQDZSQpZrTrk,The Campbell,"The Campbell - located in Grand Central Terminal at 15 Vanderbilt Avenue, just off 43rd Street - is an iconic New York institution. The restoration maintains the integrity of the property's historic architecture while introducing contemporary design elements, which together create a refined yet approachable atmosphere.",,2296,4.5,"Name: Grand Central Oyster Bar
Link: https://www.google.com/maps/search/Grand+Central+Oyster+Bar/@40.7524823,-73.97743109999999?authuser=0&hl=es&entry=ttu
Reviews: 4281 reviews

Name: Stout NYC
Link: https://www.google.com/maps/search/Stout+NYC/@40.751611499999996,-73.9788202?authuser=0&hl=es&entry=ttu
Reviews: 1619 reviews

Name: The Perfect Pint
Link: https://www.google.com/maps/search/The+Perfect+Pint/@40.7526651,-73.97265519999999?authuser=0&hl=es&entry=ttu
Reviews: 1512 reviews

Name: Albert's Bar
Link: https://www.google.com/maps/search/Albert%E2%80%99s+Bar/@40.7503629,-73.97613299999999?authuser=0&hl=es&entry=ttu
Reviews: 311 reviews

Name: The Wheeltapper Pub
Link: https://www.google.com/maps/search/The+Wheeltapper+Pub/@40.7526333,-73.9745545?authuser=0&hl=es&entry=ttu
Reviews: 150 reviews",http://www.thecampbellnyc.com/,+1 917-209-3440,,The Campbell (propietario),https://www.google.com/maps/contrib/114166183378718530888,https://lh3.ggpht.com/p/AF1QipPoP1eahXyXnftCz_SUZjxgUAYH7FXnkI4ykiIr=s1024,Bar,"Bar, Cocteleria, Lounge",12:00-2:00,,Open All Days,"15 Vanderbilt Ave, New York, NY 10017, Estados Unidos","estacion, old fashioned, historia, manhattan, techo, martini, gossip girl, penicilina, magnate, tabla de charcuteria",https://www.google.com/maps/place/The+Campbell/data=!4m7!3m6!1s0x89c2590189300cbd:0xb94e6b9642523640!8m2!3d40.752606!4d-73.977815!16s%2Fm%2F02pvztg!19sChIJvQwwiQFZwokRQDZSQpZrTrk?authuser=0&hl=es&rclk=1,bars in manhattan
ChIJ-TA7dlRYwokRDQuMTOTQuYw,Iron Bar & Lounge NYC - Hell's Kitchen,"A stellar new Gastro Bar, Restaurant & Lounge just a block off Times Square, the Iron Bar & Lounge has something for everyone, whether you are a sports fan or a food connoisseur you will fit right in with our Lunch, Happy Hour or Broadway Show crowd.",,2181,4.1,"Name: Karizma Lounge
Link: https://www.google.com/maps/search/Karizma+Lounge/@40.755606199999995,-73.9688181?authuser=0&hl=es&entry=ttu
Reviews: 1538 reviews

Name: Babylon Hookah Lounge
Link: https://www.google.com/maps/search/Babylon+Hookah+Lounge/@40.7453609,-73.97778029999999?authuser=0&hl=es&entry=ttu
Reviews: 1426 reviews

Name: Gardenia Terrace
Link: https://www.google.com/maps/search/Gardenia+Terrace/@40.7675894,-73.98936069999999?authuser=0&hl=es&entry=ttu
Reviews: 1175 reviews

Name: Horus Too
Link: https://www.google.com/maps/search/Horus+Too/@40.7613084,-73.99184650000001?authuser=0&hl=es&entry=ttu
Reviews: 801 reviews

Name: Taboo Lounge
Link: https://www.google.com/maps/search/Taboo+Lounge/@40.74975,-73.9948338?authuser=0&hl=es&entry=ttu
Reviews: 347 reviews",https://ironbarnyc.com/,+1 212-247-1970,,Iron Bar & Lounge NYC - Hell's Kitchen (propietario),https://www.google.com/maps/contrib/116609036268330727962,https://lh3.ggpht.com/p/AF1QipN8XuSVlQLwXCh2YA-AMFL5BGjySxdzoET1BWws=s1024,Bar,"Bar, Lounge, Restaurante",12:00-2:00,,Open All Days,"713 8th Ave, New York, NY 10036, Estados Unidos","cachimba, deporte, times square, alitas de pollo, broadway, quesadillas, televisor, factura, porteros, pantalla de proyeccion",https://www.google.com/maps/place/Iron+Bar+%26+Lounge+NYC+-+Hell%27s+Kitchen/data=!4m7!3m6!1s0x89c25854763b30f9:0x8cb9d0e44c8c0b0d!8m2!3d40.7591731!4d-73.9886343!16s%2Fg%2F1pp2vgdq2!19sChIJ-TA7dlRYwokRDQuMTOTQuYw?authuser=0&hl=es&rclk=1,bars in manhattan
ChIJed_amqlZwokRZ2QQm75dbaI,The Playwright Irish Pub,"The Playwright Irish Pub is a sports bar & gastropub destination in Midtown Manhattan that features dozens of high definition flat screen televisions showing every sporting event from around the world. With over 25 rotating draught beers and countless more options by the bottle, The Playwright prides itself on being the destination spot for locals and tourists alike looking for The Fight of the Century or to catch their favorite hometown team.
We are proud to be the headquarters to Pena Madridista- the official Real Madrid supporters club in NYC. We are also home to the Big Apple Cougs, and the NY Metro Iowa Club. You can join your fellow Dallas Cowboys fans here as we are your Dallas Cowboys watch party destination!",,2174,4.3,"Name: Playwright
Link: https://www.google.com/maps/search/Playwright/@40.7605168,-73.98413049999999?authuser=0&hl=es&entry=ttu
Reviews: 2074 reviews

Name: Playwright Celtic Pub
Link: https://www.google.com/maps/search/Playwright+Celtic+Pub/@40.759381,-73.98803199999999?authuser=0&hl=es&entry=ttu
Reviews: 2000 reviews

Name: Jack Doyle's
Link: https://www.google.com/maps/search/Jack+Doyle's/@40.752161,-73.991941?authuser=0&hl=es&entry=ttu
Reviews: 1115 reviews

Name: The Celtic Rail NYC
Link: https://www.google.com/maps/search/The+Celtic+Rail+NYC/@40.7499707,-73.99001419999999?authuser=0&hl=es&entry=ttu
Reviews: 253 reviews

Name: Garvey's Irish Pub
Link: https://www.google.com/maps/search/Garvey's+Irish+Pub/@40.7554194,-73.9880802?authuser=0&hl=es&entry=ttu
Reviews: 180 reviews",https://www.playwrightirishpubnyc.com/,+1 212-268-8868,,The Playwright Irish Pub (propietario),https://www.google.com/maps/contrib/103031425514998288090,https://lh3.ggpht.com/p/AF1QipMg_IEmEVmBRHuEppRXLa-lOyZAyUSSp8zIG_VR=s1024,Pub irlandes,"Pub irlandes, Bar restaurante, Recinto para eventos, Auditorio, Lounge, Bar deportivo",11:00-4:00,,Open All Days,"27 W 35th St, New York, NY 10018, Estados Unidos","real madrid, propinas, fan, cottage pie, cowboy, factura, turistas, martini, cheque, meetup",https://www.google.com/maps/place/The+Playwright+Irish+Pub/data=!4m7!3m6!1s0x89c259a99adadf79:0xa26d5dbe9b106467!8m2!3d40.7497884!4d-73.9853832!16s%2Fg%2F1v1sm49z!19sChIJed_amqlZwokRZ2QQm75dbaI?authuser=0&hl=es&rclk=1,bars in manhattan
ChIJPezLOSdawokROjWJSsqLdZg,Whiskey Tavern,Taberna local que sirve whiskies con jugo de pepinillo y otras bebidas en un espacio de estilo desenfadado.,,2042,4.6,"Name: The Dead Rabbit
Link: https://www.google.com/maps/search/The+Dead+Rabbit/@40.7032685,-74.0110218?authuser=0&hl=es&entry=ttu
Reviews: 7508 reviews

Name: 169 Bar
Link: https://www.google.com/maps/search/169+Bar/@40.7138889,-73.9897222?authuser=0&hl=es&entry=ttu
Reviews: 1207 reviews

Name: Nancy Whiskey Pub
Link: https://www.google.com/maps/search/Nancy+Whiskey+Pub/@40.7206329,-74.0049666?authuser=0&hl=es&entry=ttu
Reviews: 966 reviews

Name: Basement
Link: https://www.google.com/maps/search/Basement/@40.715298000000004,-73.9989571?authuser=0&hl=es&entry=ttu
Reviews: 432 reviews

Name: Le Dive
Link: https://www.google.com/maps/search/Le+Dive/@40.71476,-73.99094339999999?authuser=0&hl=es&entry=ttu
Reviews: 232 reviews",http://whiskeytavernnyc.com/,+1 212-374-9119,,Whiskey Tavern (propietario),https://www.google.com/maps/contrib/115178414591117177359,https://lh3.ggpht.com/p/AF1QipObLKQakzcxes0g0S7r9pX6XIfHUdj6R4Ar8SL_=s1024,Bar,"Bar, Bar restaurante, Restaurante, Bar deportivo",12:00-2:00,,Open All Days,"79 Baxter St A, New York, NY 10013, Estados Unidos","pickleback, chupito, happy hour, deportivo, energia, bowl, tater tots, tacos, cartel, jugo de pepinillo",https://www.google.com/maps/place/Whiskey+Tavern/data=!4m7!3m6!1s0x89c25a2739cbec3d:0x98758bca4a89353a!8m2!3d40.716478!4d-73.999749!16s%2Fg%2F1tj97b19!19sChIJPezLOSdawokROjWJSsqLdZg?authuser=0&hl=es&rclk=1,bars in manhattan
